date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-20,dep,THY1145,TK1145,Turkish Airlines,LTFM,HLMS,2026-07-20T03:45:00+00:00,2026-07-20T03:57:00+00:00,2026-07-20T03:59:35+00:00,2026-07-20T06:03:55+00:00,12,,landed,,A1A,4baac1,3,
2026-07-20,dep,THY2118,TK2118,Turkish Airlines,LTFM,LTAC,2026-07-20T04:00:00+00:00,2026-07-20T04:30:00+00:00,2026-07-20T04:31:22+00:00,2026-07-20T04:55:25+00:00,30,4,landed,,G1F,4ba9ab,1,
2026-07-20,dep,THY846,TK846,Turkish Airlines,LTFM,OSDI,2026-07-20T04:15:00+00:00,2026-07-20T04:46:00+00:00,2026-07-20T04:47:01+00:00,2026-07-20T06:20:55+00:00,31,8,active,,D17,4ba9c5,1,
2026-07-20,dep,DAH3015,AH3015,Air Algerie,LTFM,DAAG,2026-07-20T04:35:00+00:00,,2026-07-20T05:05:07+00:00,2026-07-20T07:13:57+00:00,30,,,,M42-,0a00e3,,
2026-07-20,dep,THY6318,TK6318,Turkish Airlines,LTFM,OTHH,2026-07-20T04:15:00+00:00,2026-07-20T05:40:00+00:00,2026-07-20T05:41:44+00:00,2026-07-20T20:34:25+00:00,85,102,scheduled,,,4ba9f9,2,
2026-07-20,dep,KZR914,KC914,Air Astana,LTFM,UAAA,2026-07-20T09:10:00+00:00,2026-07-20T09:51:00+00:00,2026-07-20T09:52:28+00:00,2026-07-20T22:18:55+00:00,41,,landed,,F3B,4cac16,1,
2026-07-20,dep,IAW252,IA252,Iraqi Airways,LTFM,ORKK,2026-07-20T09:40:00+00:00,2026-07-20T09:52:00+00:00,2026-07-20T09:55:58+00:00,2026-07-20T10:56:37+00:00,12,,active,,F7B,728677,4,
2026-07-20,dep,THY2522,TK2522,Turkish Airlines,LTFM,LTFE,2026-07-20T09:55:00+00:00,2026-07-20T10:09:00+00:00,2026-07-20T10:11:03+00:00,2026-07-20T11:00:28+00:00,14,,active,,G3E,4baa43,2,
2026-07-20,dep,AEE435,A3435,Aegean Airlines,LTFM,LGIR,2026-07-20T09:35:00+00:00,2026-07-20T10:20:00+00:00,2026-07-20T10:22:17+00:00,2026-07-20T11:26:52+00:00,45,35,scheduled,,F9B,4692d3,2,
2026-07-20,dep,SIA391,SQ391,Singapore Airlines,LTFM,WSSS,2026-07-20T10:10:00+00:00,2026-07-20T10:22:00+00:00,2026-07-20T10:24:30+00:00,2026-07-20T20:10:06+00:00,12,,landed,,D7,76cd44,2,
2026-07-20,dep,SVA258,SV258,Saudia,LTFM,OEMA,2026-07-20T10:20:00+00:00,2026-07-20T11:01:00+00:00,2026-07-20T11:03:56+00:00,2026-07-20T12:52:55+00:00,41,17,landed,,B1A,717c83,3,
2026-07-20,dep,AFL657,SU657,Aeroflot,LTFM,URKK,2026-07-20T10:30:00+00:00,2026-07-20T11:05:00+00:00,2026-07-20T11:07:30+00:00,2026-07-20T18:05:30+00:00,35,14,landed,,B5A,152021,2,
